seed,policy,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,ig_mode,budget,success_95,correct_argmax,n95,c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
5,oracle,8,8,10,0.75,0.0,proxy,35,1,1,4,5.60664556495659,0.9604293524345079,320,2,0.0032786499999986063,5
6,passive,8,8,10,0.75,0.0,proxy,35,0,1,36,42.07490431876934,0.125,0,0,0.0005054559999990715,0
6,fixed_oed,8,8,10,0.75,0.0,proxy,35,0,1,36,36.29874277658159,0.125,350,0,0.002781826999999737,0
6,random_orientation,8,8,10,0.75,0.0,proxy,35,1,1,6,6.806500994719364,0.9631189588863355,0,5,0.00010049799999833908,0
6,generic_oed,8,8,10,0.75,0.0,proxy,35,1,1,3,2.6030012420897224,0.9755699831621181,240,2,0.0016465809999992587,0
6,oarl_no_stability,8,8,10,0.75,0.0,proxy,35,1,1,6,5.388485298967633,0.9660450667692364,480,4,0.003270989000000668,0
6,full_oarl,8,8,10,0.75,0.0,proxy,35,1,1,6,4.267699915935282,0.9700210367996647,480,4,0.003448170000002193,0
6,oracle,8,8,10,0.75,0.0,proxy,35,1,1,5,6.429576301165709,0.9916830014717049,400,4,0.004217566000001227,0
7,passive,8,8,10,0.75,0.0,proxy,35,0,0,36,48.492537143215635,0.125,0,0,0.0005104540000004931,4
7,fixed_oed,8,8,10,0.75,0.0,proxy,35,0,0,36,50.849148028269944,0.125,350,0,0.0029432050000011145,4
7,random_orientation,8,8,10,0.75,0.0,proxy,35,1,1,7,6.771393354827867,0.9845951819527303,0,5,0.00012210099999876434,4
7,generic_oed,8,8,10,0.75,0.0,proxy,35,1,1,4,5.537525233303345,0.9949379690394844,320,2,0.0021823010000012744,4
7,oarl_no_stability,8,8,10,0.75,0.0,proxy,35,1,1,3,3.342798145689874,0.9661626064281095,240,1,0.0016407120000003772,4
7,full_oarl,8,8,10,0.75,0.0,proxy,35,0,1,36,27.057753600992857,0.9414684697461806,2800,3,0.019421299000001113,4
