seed,n_mechanisms,base_noise,perturbation_scale,fixed_oed,full_oarl,generic_oed,oarl_no_stability,oracle,passive,random_orientation,relative_cost_reduction
0,8,0.75,0.0,61.73845141781228,14.249310763519972,1.198908354980727,1.198908354980727,1.198908354980727,47.40923864907556,27.85049649413827,-10.885237686702949
0,8,0.75,0.35,61.73845141781228,1.7641825227303207,1.198908354980727,1.7641825227303207,1.7641825227303207,44.267592700211566,66.90992994816663,-0.47149072354131766
0,8,1.5,0.0,61.73845141781228,15.080411882845361,6.049214107497448,3.8567259477649714,4.093639213210235,47.40923864907556,51.21760981846799,-1.4929538969623455
0,8,1.5,0.35,61.73845141781228,16.163414654919343,3.031450897192587,4.658913380959828,2.3294566904799145,44.267592700211566,66.90992994816663,-4.331907130637745
0,16,0.75,0.0,23.52299151738598,19.068379603090253,7.798715829963059,5.4483322778857595,18.193528412042767,25.917108842941417,57.10023186608237,-1.445066600558592
0,16,0.75,0.35,23.52299151738598,18.79208424017078,10.403318456230334,16.792557528264766,7.557820891462143,24.30040509436851,46.204530602443775,-0.8063548010410646
0,16,1.5,0.0,23.52299151738598,19.578776270048614,52.753067686261915,22.072933989065916,21.828020817225248,25.917108842941417,57.10023186608237,0.6288599482689919
0,16,1.5,0.35,23.52299151738598,18.92484301904839,47.00376571133347,22.66712923204551,21.70706685359646,24.30040509436851,57.82727623754049,0.5973760243961632
1,8,0.75,0.0,30.604168810350437,7.141147596769925,1.4547862743114124,1.4547862743114124,2.170809929711873,28.218138844506473,6.543534113911796,-3.908726266440762
1,8,0.75,0.35,30.604168810350437,2.3719226446729182,2.3719226446729182,2.3719226446729182,2.170809929711873,29.128851783549756,2.987096314721522,0.0
1,8,1.5,0.0,30.604168810350437,23.33351711173579,4.20619538539593,4.20619538539593,4.005082670434885,28.218138844506473,16.842523209189032,-4.547416364144815
1,8,1.5,0.35,30.604168810350437,20.5785698822213,5.1233317557574365,6.040468126118943,4.922219040796391,29.128851783549756,8.877156593673483,-3.0166381689211827
1,16,0.75,0.0,30.748129298907937,18.613579186668144,41.22923786890322,19.23912766889327,16.483640347346594,34.35514590062807,48.60982181270167,0.548534483080822
1,16,0.75,0.35,30.748129298907937,15.109017542830149,35.42135870753459,18.635851232062866,52.45715370804797,32.87247861254806,53.790255954830606,0.573448955824039
1,16,1.5,0.0,30.748129298907937,15.128868948771224,55.31490299529295,19.901750878385588,15.480158117280416,34.35514590062807,48.60982181270167,0.7264956073400577
1,16,1.5,0.35,30.748129298907937,14.112425114027266,45.95249607668949,18.484609209864004,15.480158117280416,32.87247861254806,53.790255954830606,0.6928910000780973
2,8,0.75,0.0,115.58901824523075,24.846301233730458,8.085782835273658,6.936620109987565,10.77457404850704,57.09828554164256,15.89382011965701,-2.0728380590856608
2,8,0.75,0.35,115.58901824523075,25.276341255075227,7.295578237442733,3.648684821323191,8.227532973129167,56.1129208859149,21.222922699149866,-2.4646110880355883
2,8,1.5,0.0,115.58901824523075,23.877707294972268,19.691305960080374,15.133768510514354,33.37808089017068,57.09828554164256,80.82883900881389,-0.21260150765921096
2,8,1.5,0.35,115.58901824523075,23.738969550753335,18.90110136224945,10.673515312254512,22.859909107710493,56.1129208859149,71.45186760531121,-0.2559569464119378
2,16,0.75,0.0,17.237363740593786,17.314532927698814,9.50885195019083,11.217893192958245,7.5362380691866395,20.955434659984817,37.835581627642135,-0.8208857408229321
2,16,0.75,0.35,17.237363740593786,17.660628502301694,8.22557181740989,15.95877762539935,11.390821014601672,20.8077599054144,53.86129174602967,-1.1470396094435613
2,16,1.5,0.0,17.237363740593786,16.612494890822525,22.081568931086373,23.229453548170426,19.24901654486351,20.955434659984817,58.937839961516154,0.24767597163644023
2,16,1.5,0.35,17.237363740593786,15.81139003269333,22.347932816249525,18.01168500327483,26.57457097616728,20.8077599054144,53.86129174602967,0.29248981717017575
3,8,0.75,0.0,33.256036692861734,20.63436552562477,9.607061456495263,4.931795399014149,7.653825909601805,27.944969348996484,25.422929772665054,-1.147833197389825
3,8,0.75,0.35,33.256036692861734,20.267924418285073,16.121634250856,14.685332546855072,11.677922630804607,26.31282822882048,35.1227979728689,-0.2571879564386544
3,8,1.5,0.0,33.256036692861734,19.164724907913318,35.45305081301716,25.22945693714161,13.010851124921665,27.944969348996484,38.01387620756742,0.45943368854235017
3,8,1.5,0.35,33.256036692861734,19.164724907913318,62.749761177513314,19.246872558217085,30.671661424975863,26.31282822882048,42.18209183342596,0.6945848948540526
3,16,0.75,0.0,16.201348587499936,14.36588934104613,22.993001009111488,20.05132803633984,17.761686230004457,16.393554364938588,32.11697941326679,0.3752059883199533
3,16,0.75,0.35,16.201348587499936,13.810551211787214,31.177514540977317,27.3566250449826,20.46224896215061,17.177779909646752,35.89282633889545,0.5570348882802799
3,16,1.5,0.0,16.201348587499936,14.36588934104613,31.364499927397404,29.811826979246263,15.996337781212828,16.393554364938588,32.11697941326679,0.5419697628114488
3,16,1.5,0.35,16.201348587499936,13.810551211787214,32.49443371165422,22.90036406403118,17.74144472029087,17.177779909646752,35.89282633889545,0.5749871705924199
