seed,policy,regime,n_mechanisms,n_orientations,n_equivalence_classes,n_true_equivalence_classes,n_interventions,admissible_orientations,true_admissible_orientations,false_admissible_positive,false_admissible_negative,raw_actions,structured_actions,base_noise,perturbation_scale,ig_mode,budget,success_95,correct_argmax,false_high_confidence,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,inadmissible_queries,true_inadmissible_queries,transported_updates,runtime_s,true_h,block,scale_O
4000,generic_cost_tiebreak,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,0,0,9,,1.1403306308456005,9.1403306308456,0.13490657954524607,5120,0,0,0,0,4.424221158000009,4,quadrature_64,64
4000,structured_oarl,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,0,0,9,,1.1403306308456005,9.1403306308456,0.13490657954524585,320,0,0,0,8,0.2884876669999983,4,quadrature_64,64
4001,generic_cost_tiebreak,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,1,0,9,,3.0576421263848452,11.057642126384845,0.4906567151804271,5120,3,0,0,0,4.483550999000002,2,quadrature_64,64
4001,structured_oarl,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,1,0,9,,3.0576421263848452,11.057642126384845,0.49065671518042686,320,3,0,0,8,0.27228155999999615,2,quadrature_64,64
4002,generic_cost_tiebreak,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,0,0,9,,2.378301199685728,10.378301199685728,0.16556014957381857,5120,4,0,0,0,4.217967415000004,5,quadrature_64,64
4002,structured_oarl,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,0,0,9,,2.378301199685728,10.378301199685728,0.16556014957381857,320,4,0,0,8,0.20393113000000085,5,quadrature_64,64
4003,generic_cost_tiebreak,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,0,0,9,,2.169239512116982,10.169239512116981,0.18669723289825282,5120,5,0,0,0,4.5607312519999965,9,quadrature_64,64
4003,structured_oarl,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,0,0,9,,2.169239512116982,10.169239512116981,0.18669723289825277,320,5,0,0,8,0.26214887799999076,9,quadrature_64,64
4004,generic_cost_tiebreak,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,1,0,9,,3.710112405495213,11.710112405495213,0.6831605699413119,5120,6,0,0,0,4.226662344999994,4,quadrature_64,64
4004,structured_oarl,equivalent_redundancy,12,64,4,4,10,64,64,0,0,640,40,1.0,0.0,quadrature,8,0,1,0,9,,3.710112405495213,11.710112405495213,0.6831605699413119,320,6,0,0,8,0.2932572539999967,4,quadrature_64,64
