H,O,A,C,seed,discovered_classes,compression_fraction,pair_tp,pair_fp,pair_fn,pair_tn,pair_precision,pair_recall,accepted_certificates,mapping_errors,max_scale_relative_error,max_offset_error_z,certificate_comparisons,certificate_runtime_s
8,8,6,4,2036,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02278519600000095
8,8,6,4,2037,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.007220816975208932,0.010041116251594621,25200,0.019541657000019086
8,8,6,4,2038,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02391821499998059
8,8,6,4,2039,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.005640190924152466,0.005425120173819255,22800,0.016305430999977943
8,8,6,4,2040,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.021589379000005238
8,8,6,4,2041,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02282541099998525
8,8,6,4,2042,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02229898999999591
8,8,6,4,2043,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.008314903802610907,0.00224068777280181,30000,0.020435089999978118
8,8,6,4,2044,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.01230169086835775,0.0025314819395309187,24000,0.016685117999998056
8,8,6,4,2045,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02277509699999314
8,8,6,4,2046,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0023503178710089223,0.00778537353964217,27600,0.01889255699998671
8,8,6,4,2047,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.007689974516698728,0.004949304837779686,25200,0.01746433799999636
8,8,6,4,2048,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.014411228165196688,0.006987592678684001,25200,0.017471621999987974
8,8,6,4,2049,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.012011347400231465,0.009739936405710838,24000,0.016468382999988762
8,8,6,4,2050,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.008388247624558698,0.0035669891686523824,24000,0.014747118999991926
8,8,6,4,2051,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022623003999996172
8,8,6,4,2052,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.023368250999993734
8,8,6,4,2053,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022625067000006993
8,8,6,4,2054,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022728580000006104
8,8,6,4,2055,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.011037705934773046,0.0068654616073467855,22800,0.016356416000007812
8,8,6,4,2056,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022660682999998016
8,8,6,4,2057,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.01940667499999904
8,8,6,4,2058,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.005841399794661584,0.003254268548068285,24000,0.016503379999988965
8,8,6,4,2059,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.00886257994765871,0.007454563097358554,25200,0.017478605000007974
8,8,6,4,2060,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.004210555158169482,0.0034844503730862026,24000,0.014754852999999457
8,8,6,4,2061,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.01949136199999657
8,8,6,4,2062,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.012931850106427278,0.00802804823069433,22800,0.016270996000002924
8,8,6,4,2063,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.006442289979166849,0.011484595212528712,22800,0.01646538900001815
8,8,6,4,2064,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0014436039443235238,0.00735839916402019,27600,0.018759098999993284
8,8,6,4,2065,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0045449091409237585,0.006835628476910348,25200,0.017349444000018366
8,8,6,4,2066,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.00455298514718161,0.0070630817170890935,28800,0.019379794999991873
8,8,6,4,2067,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.019220377999999982
8,8,6,4,2068,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02303048200002422
8,8,6,4,2069,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02274806599999124
8,8,6,4,2070,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0018518680584977965,0.0015789316740495128,30000,0.01598639600001661
8,8,6,4,2071,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.008617192953653485,0.006042489235509631,22800,0.016383246000003737
8,8,6,4,2072,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.004770686493928311,0.0006549606134078005,30000,0.020992067000008774
8,8,6,4,2073,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.004175837998065646,0.004594170460303077,26400,0.018581136999983983
8,8,6,4,2074,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.004707178247715049,0.0009066070713356817,25200,0.017712889999984327
8,8,6,4,2075,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.0038587469228706928,0.007607471597813397,22800,0.01622335799999064
8,8,6,4,2076,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022498933000008492
8,8,6,4,2077,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.010859022970609145,0.0012714989042948062,28800,0.016937646999991784
8,8,6,4,2078,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.015075229113022504,0.001313995351367744,24000,0.014622337000020025
8,8,6,4,2079,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.011875980301229161,0.004055659100955456,24000,0.016598036000004868
8,8,6,4,2080,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0041139709938047275,0.002103639269688749,27600,0.015973522999985335
8,8,6,4,2081,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0013372389183878841,0.005126706663763277,28800,0.019713435999989315
8,8,6,4,2082,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.008268581980274914,0.0033438592391420332,26400,0.01854694400000767
8,8,6,4,2083,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.006955327940701306,0.0035485775203029047,27600,0.01894586700001355
8,8,6,4,2084,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02333970800000884
8,8,6,4,2085,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022508721000008336
8,8,6,4,2086,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0024995698382129783,0.0036075827214676576,27600,0.01855393700000718
8,8,6,4,2087,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.00519086352664111,0.002884011084003257,27600,0.018426480000016454
