seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h,condition
6000,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,10,11.035866274719513,11.035866274719513,11.035866274719513,0.9690063935704768,800,4,0.357596335999915,4,standard_clean
6000,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,10,11.035866274719513,11.035866274719513,11.035866274719513,0.9690063935704768,800,4,0.3567244259998006,4,standard_clean
6001,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,14,17.175246673781174,17.175246673781174,17.175246673781174,0.9767533340780283,1120,9,0.5084712540001419,2,standard_clean
6001,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,14,17.175246673781174,17.175246673781174,17.175246673781174,0.9767533340780283,1120,9,0.5158983790001912,2,standard_clean
6002,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,28,31.89107791455894,31.89107791455894,31.89107791455894,0.9594017596104253,2240,9,1.0109937100000934,6,standard_clean
6002,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,28,31.89107791455894,31.89107791455894,31.89107791455894,0.9594017596104253,2240,9,1.0068470589999379,6,standard_clean
6003,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,5,5.548019744735663,5.548019744735663,5.548019744735663,0.9669104840217266,400,4,0.17966422700010298,4,standard_clean
6003,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,5,5.548019744735663,5.548019744735663,5.548019744735663,0.9669104840217266,400,4,0.18045757799973217,4,standard_clean
6004,generic_oed,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,2,2.782398079237759,2.782398079237759,2.782398079237759,0.9829053392101396,160,1,0.07262663800020164,0,standard_clean
6004,full_oarl,standard,12,8,10,1.0,0.0,0.0,0.0,quadrature,35,1,1,2,2.782398079237759,2.782398079237759,2.782398079237759,0.9829053392101396,160,1,0.07209025699967242,0,standard_clean
